Date,Activity_Type,Duration,Calories_Burned
2026-01-01,Yoga,65,338
2026-01-02,Yoga,23,110
2026-01-03,Running,57,382
2026-01-04,Yoga,78,498
2026-01-05,Cycling,83,402
2026-01-06,Running,77,318
2026-01-07,Yoga,44,340
2026-01-08,Cycling,27,186
2026-01-09,Gym,49,209
2026-01-10,Cycling,75,434
2026-01-11,Running,21,387
2026-01-12,Cycling,43,323
2026-01-13,Running,41,296
2026-01-14,Running,42,258
2026-01-15,Gym,77,231
2026-01-16,Running,39,377
2026-01-17,Yoga,89,305
2026-01-18,Running,36,406
2026-01-19,Gym,55,321
2026-01-20,Running,57,310
2026-01-21,Walking,67,311
2026-01-22,Walking,88,255
2026-01-23,Gym,62,265
2026-01-24,Cycling,23,109
2026-01-25,Cycling,50,400
2026-01-26,Running,84,294
2026-01-27,Cycling,58,174
2026-01-28,Cycling,89,101
2026-01-29,Gym,66,242
2026-01-30,Walking,59,333
2026-01-31,Yoga,28,378
2026-02-01,Cycling,68,127
2026-02-02,Running,48,217
2026-02-03,Running,49,194
2026-02-04,Yoga,73,383
2026-02-05,Yoga,64,337
2026-02-06,Running,31,333
2026-02-07,Gym,49,162
2026-02-08,Gym,62,239
2026-02-09,Running,51,382
2026-02-10,Running,59,322
2026-02-11,Walking,31,127
2026-02-12,Walking,49,253
2026-02-13,Yoga,53,422
2026-02-14,Walking,76,323
2026-02-15,Yoga,72,390
2026-02-16,Running,30,365
2026-02-17,Yoga,60,404
2026-02-18,Running,41,482
2026-02-19,Gym,90,383
2026-02-20,Walking,22,150
2026-02-21,Yoga,55,340
2026-02-22,Gym,70,377
2026-02-23,Yoga,62,421
2026-02-24,Walking,49,459
2026-02-25,Walking,46,333
2026-02-26,Gym,62,480
2026-02-27,Yoga,82,346
2026-02-28,Walking,43,326
2026-03-01,Walking,51,477
2026-03-02,Walking,76,290
2026-03-03,Cycling,27,156
2026-03-04,Cycling,24,354
2026-03-05,Walking,75,356
2026-03-06,Gym,59,299
2026-03-07,Yoga,62,474
2026-03-08,Yoga,85,242
2026-03-09,Yoga,58,176
2026-03-10,Running,56,304
2026-03-11,Cycling,35,347
2026-03-12,Walking,21,252
2026-03-13,Yoga,44,434
2026-03-14,Walking,42,260
2026-03-15,Cycling,35,172
2026-03-16,Gym,88,284
2026-03-17,Yoga,78,122
2026-03-18,Running,63,458
2026-03-19,Running,55,303
2026-03-20,Cycling,80,306
2026-03-21,Running,68,317
2026-03-22,Walking,76,216
2026-03-23,Walking,45,192
2026-03-24,Yoga,65,136
2026-03-25,Running,69,429
2026-03-26,Running,37,252
2026-03-27,Cycling,37,100
2026-03-28,Cycling,21,336
2026-03-29,Running,29,181
2026-03-30,Running,74,358
2026-03-31,Walking,38,434
2026-04-01,Gym,53,429
2026-04-02,Cycling,27,287
2026-04-03,Yoga,79,105
2026-04-04,Cycling,67,439
2026-04-05,Walking,76,143
2026-04-06,Cycling,88,235
2026-04-07,Running,34,465
2026-04-08,Running,63,454
2026-04-09,Yoga,26,333
2026-04-10,Walking,67,325
2026-04-11,Running,75,272
2026-04-12,Yoga,57,281
2026-04-13,Yoga,71,272
2026-04-14,Walking,62,373
2026-04-15,Cycling,58,234
2026-04-16,Cycling,30,356
2026-04-17,Yoga,65,264
2026-04-18,Yoga,50,210
2026-04-19,Gym,73,304
2026-04-20,Gym,36,256
2026-04-21,Cycling,49,364
2026-04-22,Walking,78,441
2026-04-23,Gym,20,455
2026-04-24,Running,76,431
2026-04-25,Walking,51,266
2026-04-26,Running,83,424
2026-04-27,Walking,28,345
2026-04-28,Cycling,56,389
2026-04-29,Walking,59,239
